dest	src	nlq	lq	cost
78.41.113.124	78.41.112.4	0.874	1.000	1.143
78.41.112.59	78.41.112.7	0.278	0.952	3.769
193.238.159.61	78.41.112.7	0.917	0.823	1.323
78.41.112.104	78.41.112.9	0.897	0.497	2.235
78.41.112.222	78.41.112.9	0.897	1.000	1.113
193.238.159.100	78.41.112.9	0.897	1.000	1.113
78.41.112.201	78.41.112.10	0.905	1.000	1.104
78.41.113.191	78.41.112.10	1.000	1.000	1.000
193.238.156.32	78.41.112.10	1.000	1.000	1.000
193.238.156.97	78.41.112.10	1.000	1.000	1.000
193.238.159.206	78.41.112.11	1.000	1.000	1.000
193.238.159.241	78.41.112.11	0.944	0.466	2.267
78.41.112.124	78.41.112.12	1.000	0.709	1.408
78.41.113.77	78.41.112.12	1.000	1.000	1.000
78.41.113.228	78.41.112.12	1.000	1.000	1.000
193.238.156.35	78.41.112.12	1.000	1.000	1.000
193.238.156.225	78.41.112.12	1.000	1.000	1.000
193.238.158.90	78.41.112.12	1.000	1.000	1.000
193.238.158.188	78.41.112.12	1.000	1.000	1.000
193.238.159.25	78.41.112.12	1.000	1.000	1.000
193.238.159.54	78.41.112.12	1.000	1.000	1.000
193.238.159.222	78.41.112.12	1.000	1.000	1.000
78.41.112.27	78.41.112.17	1.000	1.000	1.000
78.41.113.250	78.41.112.17	0.823	1.000	1.214
193.238.157.207	78.41.112.18	1.000	1.000	1.000
193.238.156.152	78.41.112.20	0.769	0.839	1.550
78.41.112.17	78.41.112.27	1.000	1.000	1.000
78.41.112.32	78.41.112.31	1.000	1.000	1.000
78.41.113.132	78.41.112.31	1.000	1.000	1.000
78.41.112.31	78.41.112.32	1.000	1.000	1.000
78.41.113.90	78.41.112.45	0.913	0.572	1.911
78.41.112.50	78.41.112.49	1.000	1.000	1.000
193.238.156.247	78.41.112.49	1.000	1.000	1.000
193.238.159.59	78.41.112.49	1.000	1.000	1.000
78.41.112.49	78.41.112.50	1.000	1.000	1.000
193.238.156.247	78.41.112.50	1.000	1.000	1.000
193.238.159.59	78.41.112.50	1.000	1.000	1.000
78.41.112.7	78.41.112.59	0.964	0.278	3.723
193.238.159.61	78.41.112.59	0.944	0.886	1.193
78.41.113.188	78.41.112.60	1.000	1.000	1.000
193.238.156.55	78.41.112.60	1.000	1.000	1.000
193.238.156.184	78.41.112.60	1.000	1.000	1.000
193.238.158.27	78.41.112.60	1.000	1.000	1.000
193.238.158.29	78.41.112.60	1.000	1.000	1.000
193.238.158.72	78.41.112.60	1.000	1.000	1.000
193.238.158.248	78.41.112.60	1.000	1.000	1.000
193.238.159.100	78.41.112.65	1.000	1.000	1.000
193.238.156.139	78.41.112.66	1.000	0.462	2.160
193.238.159.81	78.41.112.66	1.000	1.000	1.000
193.238.159.100	78.41.112.66	0.195	1.000	5.100
193.238.159.137	78.41.112.66	1.000	1.000	1.000
193.238.159.227	78.41.112.66	1.000	0.195	5.100
193.238.156.228	78.41.112.68	1.000	1.000	1.000
193.238.158.230	78.41.112.68	1.000	1.000	1.000
193.238.156.234	78.41.112.69	0.792	0.435	2.899
193.238.158.167	78.41.112.69	0.584	0.987	1.731
78.41.112.236	78.41.112.72	1.000	0.940	1.063
78.41.113.241	78.41.112.72	1.000	1.000	1.000
193.238.159.8	78.41.112.72	1.000	1.000	1.000
193.238.159.13	78.41.112.72	1.000	1.000	1.000
78.41.112.169	78.41.112.76	1.000	1.000	1.000
193.238.158.91	78.41.112.76	1.000	1.000	1.000
193.238.158.119	78.41.112.76	1.000	1.000	1.000
193.238.158.237	78.41.112.76	1.000	0.521	1.917
78.41.113.13	78.41.112.79	1.000	1.000	1.000
78.41.113.144	78.41.112.79	1.000	1.000	1.000
78.41.113.60	78.41.112.86	1.000	1.000	1.000
193.238.159.54	78.41.112.86	1.000	1.000	1.000
78.41.112.99	78.41.112.92	1.000	1.000	1.000
193.238.158.26	78.41.112.92	1.000	1.000	1.000
193.238.158.169	78.41.112.92	1.000	1.000	1.000
193.238.159.232	78.41.112.92	1.000	1.000	1.000
78.41.112.168	78.41.112.93	1.000	1.000	1.000
193.238.158.141	78.41.112.93	0.874	0.983	1.161
193.238.159.29	78.41.112.93	0.843	1.000	1.186
193.238.159.39	78.41.112.93	1.000	1.000	1.000
193.238.159.50	78.41.112.93	1.000	1.000	1.000
78.41.112.92	78.41.112.99	1.000	1.000	1.000
193.238.158.26	78.41.112.99	1.000	1.000	1.000
193.238.158.169	78.41.112.99	1.000	1.000	1.000
193.238.159.232	78.41.112.99	1.000	1.000	1.000
78.41.112.222	78.41.112.100	1.000	1.000	1.000
193.238.158.134	78.41.112.100	0.874	0.776	1.473
193.238.159.100	78.41.112.102	1.000	1.000	1.000
78.41.112.122	78.41.112.103	1.000	1.000	1.000
78.41.112.9	78.41.112.104	0.497	0.897	2.235
193.238.159.100	78.41.112.104	0.497	1.000	2.008
78.41.113.57	78.41.112.107	1.000	1.000	1.000
193.238.158.202	78.41.112.107	1.000	1.000	1.000
193.238.159.129	78.41.112.108	1.000	1.000	1.000
193.238.159.165	78.41.112.108	1.000	1.000	1.000
193.238.156.60	78.41.112.111	0.757	0.835	1.581
193.238.156.234	78.41.112.111	0.796	0.615	2.040
193.238.159.35	78.41.112.111	0.796	0.792	1.585
193.238.159.175	78.41.112.115	0.843	0.518	2.291
193.238.156.73	78.41.112.120	0.674	0.211	7.000
193.238.156.82	78.41.112.120	0.713	0.878	1.595
193.238.158.244	78.41.112.120	0.502	0.356	5.582
193.238.159.25	78.41.112.120	1.000	1.000	1.000
193.238.159.143	78.41.112.120	0.697	0.639	2.240
78.41.112.103	78.41.112.122	1.000	1.000	1.000
193.238.158.91	78.41.112.122	1.000	1.000	1.000
78.41.112.12	78.41.112.124	0.740	1.000	1.349
193.238.156.3	78.41.112.124	1.000	1.000	1.000
193.238.158.244	78.41.112.124	1.000	1.000	1.000
78.41.113.90	78.41.112.126	1.000	1.000	1.000
78.41.113.124	78.41.112.126	1.000	1.000	1.000
78.41.113.137	78.41.112.126	1.000	1.000	1.000
78.41.113.246	78.41.112.126	1.000	0.921	1.085
78.41.113.250	78.41.112.126	1.000	1.000	1.000
193.238.158.86	78.41.112.126	1.000	1.000	1.000
193.238.158.195	78.41.112.126	0.843	0.972	1.219
78.41.113.7	78.41.112.131	1.000	0.862	1.158
78.41.113.35	78.41.112.131	1.000	1.000	1.000
78.41.113.214	78.41.112.131	1.000	1.000	1.000
193.238.156.31	78.41.112.131	1.000	0.396	2.524
193.238.156.90	78.41.112.131	1.000	1.000	1.000
193.238.156.144	78.41.112.131	1.000	1.000	1.000
193.238.158.70	78.41.112.131	0.561	0.654	2.723
193.238.158.169	78.41.112.131	1.000	1.000	1.000
193.238.158.254	78.41.112.132	1.000	1.000	1.000
193.238.159.103	78.41.112.132	1.000	1.000	1.000
78.41.112.225	78.41.112.136	1.000	1.000	1.000
78.41.113.187	78.41.112.137	1.000	0.960	1.040
193.238.159.100	78.41.112.137	1.000	1.000	1.000
78.41.113.99	78.41.112.143	1.000	1.000	1.000
78.41.113.244	78.41.112.143	1.000	1.000	1.000
